,id,name,country,country_code,abbreviation,week,Year
650,sr:competitor:168526,"Appleton, Emily",Great Britain,GBR,APP,32,2026
651,sr:competitor:98733,"Burillo Escorihuela, Irene",Spain,ESP,BUR,32,2026
652,sr:competitor:20158,"Webley-Smith, Emily",Great Britain,GBR,WEB,32,2026
653,sr:competitor:223862,"Laboutkova, Aneta",Czechia,CZE,LAB,32,2026
654,sr:competitor:59762,"Barnett, Alicia",Great Britain,GBR,BAR,32,2026
655,sr:competitor:290994,"Wong, Hong Yi Cody","Hong Kong, China",HKG,WON,32,2026
656,sr:competitor:203893,"Kucmova, Aneta",Czechia,CZE,KUC,32,2026
657,sr:competitor:64315,"Kuwata, Hiroko",Japan,JPN,KUW,32,2026
658,sr:competitor:111189,"Zarazua, Renata",Mexico,MEX,ZAR,32,2026
659,sr:competitor:152106,"Zaar, Lisa",Sweden,SWE,ZAA,32,2026
660,sr:competitor:46625,"Raina, Ankita",India,IND,RAI,32,2026
661,sr:competitor:880229,"Cayetano, Eryn",USA,USA,CAY,32,2026
662,sr:competitor:53288,"Silva, Eden",Great Britain,GBR,SIL,32,2026
663,sr:competitor:192108,"Yastremska, Dayana",Ukraine,UKR,YAS,32,2026
664,sr:competitor:319455,"Baptiste, Hailey",USA,USA,BAP,32,2026
665,sr:competitor:87834,"Hon, Priscilla",Australia,AUS,HON,32,2026
666,sr:competitor:278887,"Kostyuk, Marta",Ukraine,UKR,KOS,32,2026
667,sr:competitor:85077,"Muchova, Karolina",Czechia,CZE,MUC,32,2026
668,sr:competitor:69988,"Korpatsch, Tamara",Germany,DEU,KOR,32,2026
669,sr:competitor:568715,"Semenistaja, Darja",Latvia,LVA,SEM,32,2026
670,sr:competitor:222546,"Kuzmova, Katarina",Slovakia,SVK,KUZ,32,2026
671,sr:competitor:230108,"McGiffin, Tenika",Australia,AUS,MCG,32,2026
672,sr:competitor:52025,"Wang, Yafan",China,CHN,WAN,32,2026
673,sr:competitor:52183,"Bara, Irina Maria",Romania,ROU,BARA,32,2026
674,sr:competitor:246945,"Da Silva Fick, Gabriella",Australia,AUS,DA,32,2026
675,sr:competitor:448123,"Broadus, Savannah",USA,USA,BRO,32,2026
676,sr:competitor:226092,"Shimizu, Eri",Japan,JPN,SHI,32,2026
677,sr:competitor:142758,"Zhang, Ying",China,CHN,ZHA,32,2026
678,sr:competitor:71250,"Frech, Magdalena",Poland,POL,FRE,32,2026
679,sr:competitor:227486,"Zantedeschi, Aurora",Italy,ITA,ZAN,32,2026
680,sr:competitor:148276,"Zheng, Wushuang",China,CHN,ZHE,32,2026
681,sr:competitor:41877,"Yuan, Yue",China,CHN,YUA,32,2026
682,sr:competitor:150574,"Bondar, Anna",Hungary,HUN,BON,32,2026
683,sr:competitor:435794,"Zolotareva, Anastasia",Neutral,,ZOL,32,2026
684,sr:competitor:731441,"Vargova, Nina",Slovakia,SVK,VAR,32,2026
685,sr:competitor:406199,"Jacquemot, Elsa",France,FRA,JAC,32,2026
686,sr:competitor:141892,"Carle, Maria",Argentina,ARG,CAR,32,2026
687,sr:competitor:936009,"van Emst, Sarah",Netherlands,NLD,VAN,32,2026
688,sr:competitor:45827,"Lechemia, Elixane",France,FRA,LEC,32,2026
689,sr:competitor:807358,"Rakotomanga Rajaonah, Tiantsoa Sarah",France,FRA,RAK,32,2026
